Tahun,Provinsi,Kabupaten/Kota,Timbulan Sampah Harian(ton),Timbulan Sampah Tahunan(ton)
2013,D.I. Yogyakarta,Kartamantulgupro,"397,4",144.66
2014,D.I. Yogyakarta,Kartamantulgupro,"389,6",141.83
2015,D.I. Yogyakarta,Kartamantulgupro,"435,7",158.6
2016,D.I. Yogyakarta,Kartamantulgupro,"504,1",183.98
2017,D.I. Yogyakarta,Kartamantulgupro,"552,8",201.23
2018,D.I. Yogyakarta,Kartamantulgupro,"551,2",200.65
2019,D.I. Yogyakarta,Kartamantulgupro,"544,0",198.02
2020,D.I. Yogyakarta,Kartamantulgupro,"569,7",207.93
2021,D.I. Yogyakarta,Kartamantulgupro,"700,9",255.22
2022,D.I. Yogyakarta,Kartamantulgupro,"742,2","742,2"
2023,D.I. Yogyakarta,Kartamantulgupro,1506.77,549971.87
